	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price	ln_price
															
ln_odometer	-0.370***	-0.370***	-0.370***	-0.370***	-0.370***	-0.370***	-0.362***	-0.362***	-0.370***	-0.370***	-0.370***	-0.370***	-0.370***	-0.370***	-0.370***
	(0.103)	(0.103)	(0.103)	(0.103)	(0.103)	(0.103)	(0.102)	(0.102)	(0.103)	(0.103)	(0.103)	(0.103)	(0.103)	(0.103)	(0.103)
2.area_enc	-0.147	-0.147	-0.147	-0.147	-0.147	-0.147	-0.146	-0.146	-0.147	-0.147	-0.147	-0.147	-0.147	-0.147	-0.147
	(0.108)	(0.108)	(0.108)	(0.108)	(0.108)	(0.108)	(0.107)	(0.107)	(0.108)	(0.108)	(0.108)	(0.108)	(0.108)	(0.108)	(0.108)
1.condition_enc	0.795***	0.795***	0.795***	0.795***	0.795***	0.795***	0.814***	0.814***	0.795***	0.795***	0.795***	0.795***	0.795***	0.795***	0.795***
	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.256)	(0.256)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)
3.condition_enc	0.621**	0.621**	0.621**	0.621**	0.621**	0.621**	0.639**	0.639**	0.621**	0.621**	0.621**	0.621**	0.621**	0.621**	0.621**
	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.256)	(0.256)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)	(0.257)
4.condition_enc	0.638**	0.638**	0.638**	0.638**	0.638**	0.638**	0.672**	0.672**	0.638**	0.638**	0.638**	0.638**	0.638**	0.638**	0.638**
	(0.283)	(0.283)	(0.283)	(0.283)	(0.283)	(0.283)	(0.281)	(0.281)	(0.283)	(0.283)	(0.283)	(0.283)	(0.283)	(0.283)	(0.283)
5.condition_enc	-0.496	-0.496	-0.496	-0.496	-0.496	-0.496	-0.531	-0.531	-0.496	-0.496	-0.496	-0.496	-0.496	-0.496	-0.496
	(0.555)	(0.555)	(0.555)	(0.555)	(0.555)	(0.555)	(0.554)	(0.554)	(0.555)	(0.555)	(0.555)	(0.555)	(0.555)	(0.555)	(0.555)
2.fuel_enc	0.0530	0.0530	0.0530	0.0530	0.0530	0.0530			0.0530	0.0530	0.0530	0.0530	0.0530	0.0530	0.0530
	(0.944)	(0.944)	(0.944)	(0.944)	(0.944)	(0.944)			(0.944)	(0.944)	(0.944)	(0.944)	(0.944)	(0.944)	(0.944)
3.fuel_enc	-0.516	-0.516	-0.516	-0.516	-0.516	-0.516			-0.516	-0.516	-0.516	-0.516	-0.516	-0.516	-0.516
	(1.037)	(1.037)	(1.037)	(1.037)	(1.037)	(1.037)			(1.037)	(1.037)	(1.037)	(1.037)	(1.037)	(1.037)	(1.037)
4.fuel_enc	0.322	0.322	0.322	0.322	0.322	0.322			0.322	0.322	0.322	0.322	0.322	0.322	0.322
	(1.322)	(1.322)	(1.322)	(1.322)	(1.322)	(1.322)			(1.322)	(1.322)	(1.322)	(1.322)	(1.322)	(1.322)	(1.322)
hybrid	0.563*	0.563*			0.563*	0.563*	0.265	0.265	0.563*	0.563*	0.563*	0.563*	0.563*	0.563*	0.563*
	(0.336)	(0.336)			(0.336)	(0.336)	(0.248)	(0.248)	(0.336)	(0.336)	(0.336)	(0.336)	(0.336)	(0.336)	(0.336)
1.new_enc	0.720***	0.720***	0.720***		0.720***	0.720***	0.722***	0.722***	0.720***	0.720***	0.720***	0.720***	0.720***	0.720***	0.720***
	(0.161)	(0.161)	(0.161)		(0.161)	(0.161)	(0.159)	(0.159)	(0.161)	(0.161)	(0.161)	(0.161)	(0.161)	(0.161)	(0.161)
1.hybrid			0.563*	0.563*											
			(0.336)	(0.336)											
new_enc				-0.720***											
				(0.161)											
Constant	8.337***	8.337***	8.337***	9.777***	8.337***	8.337***	8.350***	8.350***	8.337***	8.337***	8.337***	8.337***	8.337***	8.337***	8.337***
	(1.034)	(1.034)	(1.034)	(0.996)	(1.034)	(1.034)	(0.384)	(0.384)	(1.034)	(1.034)	(1.034)	(1.034)	(1.034)	(1.034)	(1.034)
															
Observations	327	327	327	327	327	327	327	327	327	327	327	327	327	327	327
R-squared	0.256	0.256	0.256	0.256	0.256	0.256	0.251	0.251	0.256	0.256	0.256	0.256	0.256	0.256	0.256
Standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
