,pricestr,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,Hybrid,area_list,old_new
0,$4990,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,11.6236,grey,,automatic,sedan,1,4990,8.5151911,2007,11,2.4530375,0,0,0,1,chicago,old
1,$10625,chicago,chicago city,2009 Toyota Camry Hybrid,,4 cylinders,fwd,hybrid,4.3702,grey,,automatic,sedan,1,10625,9.2709646,2009,9,1.4748088,0,0,0,1,chicago,old
2,$14850,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,,gas,3.5721,,,automatic,sedan,1,14850,9.605754899999999,2015,3,1.2731537,0,0,0,0,chicago,new
3,$15630,chicago,chicago city,2016 TOYOTA CAMRY,,,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.656947099999998,2016,2,0.27398875,0,0,0,0,chicago,new
4,$850,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.7452364000000005,1993,25,2.9285235000000003,0,0,0,0,chicago,old
5,$1300,chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,16.82425880432129,grey,,automatic,,0,1300,7.1701198,1998,20,2.8228218999999997,0,0,0,0,chicago,old
6,$1600,chicago,chicago city,1998 toyota camry le,,,,gas,16.82425880432129,,,automatic,,0,1600,7.377758999999999,1998,20,2.8228218999999997,1,0,0,0,chicago,old
7,$1500,chicago,chicago city,1998 Toyota Camry,,,,gas,16.82425880432129,,,automatic,,0,1500,7.3132205,1998,20,2.8228218999999997,0,0,0,0,chicago,old
8,$1650,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.4085307,1999,19,3.0056827,0,0,0,0,chicago,old
9,$2295,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.7384882,2000,18,2.3702438,1,0,0,0,chicago,old
10,$1650,chicago,chicago city,2002 toyota camry solara,,6 cylinders,fwd,gas,16.0,black,,automatic,,0,1650,7.4085307,2002,16,2.7725887000000005,0,0,0,0,chicago,old
11,$3500,chicago,chicago city,2002 toyota camry,,,,gas,14.32672119140625,,,automatic,,0,3500,8.1605186,2002,16,2.6621262999999997,0,0,0,0,chicago,old
12,$1100,chicago,chicago city,2003 Toyota CAMRY XLE,,,,gas,14.08167171478272,white,,automatic,,0,1100,7.0030656,2003,15,2.6448741,0,1,0,0,chicago,old
13,$3800,chicago,chicago city,2003 toyota camry,,4 cylinders,,gas,11.9,,,automatic,,0,3800,8.2427559,2003,15,2.4765384,0,0,0,0,chicago,old
14,$2950,chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,16.7,,,automatic,,0,2950,7.9895606,2004,14,2.8154087000000003,0,1,0,0,chicago,old
15,$4200,chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,12.0451,grey,full-size,automatic,sedan,0,4200,8.3428402,2005,13,2.488658,1,0,0,0,chicago,old
16,$5799,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,hybrid,15.9,silver,,automatic,sedan,0,5799,8.6654406,2007,11,2.7663189999999998,0,0,0,1,chicago,old
17,$4500,chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,11.626930236816412,silver,full-size,automatic,sedan,0,4500,8.4118328,2007,11,2.4533241,0,0,0,0,chicago,old
18,$4000,chicago,chicago city,2007 Toyota camry,,,,gas,11.626930236816412,,,automatic,,0,4000,8.294049300000001,2007,11,2.4533241,0,0,0,0,chicago,old
19,$6000,chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,10.2,grey,mid-size,automatic,,0,6000,8.6995144,2007,11,2.3223877,0,0,1,0,chicago,old
20,$5999,chicago,chicago city,2007 toyota camry xle,,,,gas,11.626930236816412,,,automatic,,0,5999,8.6993484,2007,11,2.4533241,0,1,0,0,chicago,old
21,$7700,chicago,chicago city,2008 toyota camry,,4 cylinders,fwd,gas,6.58,,,automatic,,0,7700,8.948975599999999,2008,10,1.8840348000000002,0,0,0,0,chicago,old
22,$7200,chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,11.33,grey,mid-size,automatic,sedan,0,7200,8.8818359,2009,9,2.427454,0,0,1,0,chicago,old
23,$6400,chicago,chicago city,2009 toyota camry xle,excellent,,,gas,16.45036315917969,,,automatic,,0,6400,8.7640533,2009,9,2.8003476000000003,0,1,0,0,chicago,old
24,$2900,chicago,chicago city,2010 toyota camry hybrid,,,,hybrid,30.0,,,automatic,,0,2900,7.972466000000001,2010,8,3.4011974,0,0,0,1,chicago,old
